时间 Time(s),目标纬度 t_loc_lat(deg),目标经度 t_loc_lon(deg),目标高度 t_loc_alt(m),目标北向 t_loc_G_N(m),目标天向 t_loc_G_U(m),目标东向 t_loc_G_E(m),目北速反算 t_vel_G_N(m),目天速反算 t_vel_G_U(m),目东速反算 t_vel_G_E(m),目标北速 t_vel_G_N(m),目标天速 t_vel_G_U(m),目标东速 t_vel_G_E(m),导弹纬度 m_loc_lat(deg),导弹经度 m_loc_lon(deg),导弹高度 m_loc_alt(m),导弹北向 m_loc_G_N(m),导弹天向 m_loc_G_U(m),导弹东向 m_loc_G_E(m),俯仰角 m_theta(deg),弹道倾角 m_gamma(deg),攻角 m_alpha(deg),偏航角 m_psi(deg),弹道偏角 m_psis(deg),侧滑角 m_beta(deg),升力 lift_force(N),阻力 drag_force(N),侧力 side_force(N),相对北向 rel_loc_N(m),相对天向 rel_loc_U(m),相对东向 rel_loc_E(m),北向速度 m_vel_N_N(m/s),天向速度 m_vel_N_U(m/s),东向速度 m_vel_N_E(m/s),地系速 m_vel_G_s(m/s),导系速 m_vel_N_s(m/s),弹目距 mt_dist(m),质量 m_mass(kg),推力 m_thrust(N),方向舵 delta_r(deg),升降舵 delta_e(deg),法向过载 overload_N(-),视线角V lambda_v(deg),视线角速V lambda_v_dot(deg/s),视线角H lambda_h(deg),视线角速H lambda_h_dot(deg/s),制导阶段 guidance_phase(-),命中时间 impact_time_est(s),马赫数 m_mach(-)
0.01,20.401,120.05,32000,44589.3,32000.1,5222.95,49.9988,10,-150.387,50,10,-150,20,120,19000,2.50874,19000,0.501749,0.674166,0.674166,0,-11.3099,-11.3099,1.19967e-05,0,34.3109,-0,44588.8,13000,5224.45,250.874,2.91239,50.1749,254.969,255.859,46738.2,158,14125.5,0.45,0,0,16.1495,0.0839104,-6.68285,0.206496,1,-1,0.864176
0.02,20.401,120.05,32000,44589.8,32000.2,5221.44,49.9988,10,-150.387,50,10,-150,20,120,19000.1,5.02623,19000.1,1.00525,0.674179,0.6522,0.0219786,-11.3099,-11.3099,3.2903e-05,0,34.5508,-0.000114664,44586.3,13000,5223.95,251.748,2.82478,50.3497,255.859,256.749,46735.7,157.982,14113.9,0.333391,0.45,8.55183e-06,16.1495,0.0843245,-6.68285,0.206592,1,-1,0.867195
0.03,20.401,120.05,32000,44590.3,32000.3,5219.94,49.9988,10,-150.387,50,10,-150,20.0001,120,19000.1,7.55244,19000.1,1.51049,0.674215,0.630386,0.0438289,-11.3099,-11.3099,6.62121e-05,0.505145,34.7917,-0.000316676,44583.8,12999.9,5223.45,252.622,2.73719,50.5243,256.749,257.639,46733.2,157.964,14102.4,0.461406,0.9,0.000343153,16.1495,0.0847386,-6.68285,0.206688,1,-1,0.870212
0.04,20.401,120.05,32000,44590.8,32000.4,5218.44,49.9988,10,-150.387,50,10,-150,20.0001,120,19000.1,10.0874,19000.1,2.01748,0.674279,0.60873,0.0655491,-11.3098,-11.3099,0.000112281,1.01433,35.0334,-0.000641681,44581.2,12999.9,5222.94,253.494,2.64963,50.6988,257.639,258.528,46730.8,157.946,14090.9,0.472858,1.02954,0.000680506,16.1495,0.0851526,-6.68285,0.206784,1,-1,0.873227
0.05,20.401,120.05,32000,44591.3,32000.5,5216.93,49.9988,10,-150.387,50,10,-150,20.0001,120,19000.1,12.631,19000.1,2.52621,0.674377,0.587231,0.0871462,-11.3098,-11.3099,0.000172714,1.52748,35.2762,-0.00109566,44578.7,12999.9,5222.43,254.366,2.5621,50.8732,258.528,259.416,46728.3,157.928,14079.4,0.529707,1.21768,0.00102056,16.1495,0.0855664,-6.68285,0.20688,1,-1,0.87624
0.06,20.401,120.05,32000,44591.8,32000.6,5215.43,49.9988,10,-150.387,50,10,-150,20.0001,120,19000.2,15.1834,19000.2,3.03668,0.674512,0.565886,0.108626,-11.3097,-11.3099,0.000248412,2.04472,35.5199,-0.00169698,44576.2,12999.9,5221.92,255.237,2.47459,51.0475,259.416,260.304,46725.8,157.91,14067.9,0.560358,1.36332,0.00136342,16.1495,0.08598,-6.68285,0.206976,1,-1,0.879251
0.07,20.401,120.05,32000,44592.3,32000.7,5213.92,49.9988,10,-150.387,50,10,-150,20.0002,120,19000.2,17.7445,19000.2,3.5489,0.674688,0.544694,0.129994,-11.3096,-11.3099,0.000340459,2.56617,35.7646,-0.00245746,44573.6,12999.8,5221.41,256.108,2.38712,51.2216,260.304,261.191,46723.3,157.892,14056.4,0.597379,1.4981,0.00170913,16.1495,0.0863935,-6.68285,0.207072,1,-1,0.882259
0.08,20.401,120.05,32000,44592.8,32000.8,5212.42,49.9988,10,-150.387,50,10,-150,20.0002,120,19000.2,20.3143,19000.2,4.06286,0.674909,0.523654,0.151255,-11.3095,-11.3099,0.000449739,3.09191,36.0102,-0.00339104,44571.1,12999.8,5220.9,256.978,2.29967,51.3956,261.191,262.077,46720.8,157.873,14044.8,0.626789,1.61575,0.00205778,16.1495,0.0868069,-6.68285,0.207168,1,-1,0.885266
0.09,20.401,120.05,32000,44593.3,32000.9,5210.92,49.9988,10,-150.387,50,10,-150,20.0002,120,19000.2,22.8928,19000.2,4.57855,0.675178,0.502765,0.172414,-11.3094,-11.3099,0.000577122,3.62206,36.2568,-0.00450994,44568.5,12999.8,5220.38,257.848,2.21226,51.5695,262.077,262.963,46718.3,157.855,14033.3,0.65532,1.7204,0.00240943,16.1495,0.0872201,-6.68285,0.207263,1,-1,0.88827
0.1,20.401,120.05,32000,44593.8,32001,5209.41,49.9988,10,-150.387,50,10,-150,20.0002,120,19000.3,25.4799,19000.3,5.09598,0.675498,0.482024,0.193475,-11.3092,-11.3099,0.000723387,4.15669,36.5044,-0.00582649,44565.9,12999.8,5219.87,258.716,2.12487,51.7432,262.963,263.848,46715.7,157.837,14021.8,0.680412,1.81297,0.00276413,16.1495,0.0876332,-6.68285,0.207359,1,-1,0.891273
0.11,20.401,120.05,32000,44594.3,32001.1,5207.91,49.9988,10,-150.387,50,10,-150,20.0003,120,19000.3,28.0758,19000.3,5.61515,0.675872,0.46143,0.214442,-11.309,-11.3099,0.000889268,4.69589,36.7529,-0.00735237,44563.3,12999.7,5219.35,259.584,2.03753,51.9168,263.848,264.733,46713.2,157.819,14010.3,0.703605,1.89504,0.00312194,16.1495,0.0880461,-6.68285,0.207455,1,-1,0.894273
0.12,20.401,120.05,32000,44594.8,32001.2,5206.41,49.9988,10,-150.387,50,10,-150,20.0003,120,19000.3,30.6803,19000.3,6.13605,0.676302,0.440983,0.235319,-11.3088,-11.3099,0.00107544,5.23973,37.0024,-0.00909903,44560.7,12999.7,5218.83,260.452,1.95021,52.0903,264.733,265.617,46710.7,157.801,13998.8,0.724568,1.96779,0.00348292,16.1495,0.0884589,-6.68285,0.207551,1,-1,0.897272
0.13,20.401,120.05,32000,44595.3,32001.3,5204.9,49.9988,10,-150.387,50,10,-150,20.0003,120,19000.3,33.2935,19000.3,6.65869,0.67679,0.42068,0.25611,-11.3086,-11.3099,0.00128254,5.7883,37.2529,-0.0110776,44558.1,12999.7,5218.31,261.319,1.86293,52.2637,265.617,266.501,46708.1,157.783,13987.3,0.743767,2.03232,0.00384712,16.1495,0.0888715,-6.68285,0.207647,1,-1,0.900268
0.14,20.401,120.05,32000,44595.8,32001.4,5203.4,49.9988,10,-150.387,50,10,-150,20.0003,120,19000.3,35.9153,19000.3,7.18306,0.677339,0.400521,0.276818,-11.3084,-11.3099,0.00151116,6.34167,37.5044,-0.0132988,44555.5,12999.7,5217.78,262.185,1.77569,52.4369,266.501,267.383,46705.6,157.765,13975.7,0.761281,2.0896,0.00421457,16.1495,0.089284,-6.68285,0.207743,1,-1,0.903262
0.15,20.401,120.05,32000,44596.3,32001.5,5201.89,49.9988,10,-150.387,50,10,-150,20.0003,120,19000.3,38.5458,19000.3,7.70916,0.677949,0.380503,0.297446,-11.3081,-11.3099,0.00176186,6.89989,37.7568,-0.0157733,44552.9,12999.7,5217.26,263.051,1.68848,52.61,267.383,268.265,46703,157.747,13964.2,0.777331,2.14046,0.00458534,16.1495,0.0896963,-6.68285,0.207838,1,-1,0.906254
0.16,20.401,120.05,32000,44596.8,32001.6,5200.39,49.9988,10,-150.387,50,10,-150,20.0004,120,19000.4,41.185,19000.4,8.23699,0.678623,0.360627,0.317997,-11.3079,-11.3099,0.00203514,7.46304,38.0102,-0.0185115,44550.3,12999.7,5216.73,263.916,1.60132,52.783,268.265,269.147,46700.4,157.729,13952.7,0.792048,2.18567,0.00495947,16.1495,0.0901085,-6.68285,0.207934,1,-1,0.909244
0.17,20.401,120.05,32000,44597.3,32001.7,5198.89,49.9988,10,-150.387,50,10,-150,20.0004,120,19000.4,43.8328,19000.4,8.76655,0.679363,0.340889,0.338473,-11.3076,-11.3099,0.00233151,8.03117,38.2645,-0.0215235,44547.6,12999.6,5216.2,264.78,1.5142,52.9558,269.147,270.028,46697.9,157.711,13941.2,0.80558,2.22587,0.00533699,16.1495,0.0905205,-6.68285,0.20803,1,-1,0.912232
0.18,20.401,120.05,32000,44597.8,32001.8,5197.38,49.9988,10,-150.387,50,10,-150,20.0004,120,19000.4,46.4892,19000.4,9.29783,0.680169,0.321291,0.358879,-11.3072,-11.3099,0.00265142,8.60435,38.5198,-0.0248195,44545,12999.6,5215.67,265.644,1.42711,53.1285,270.028,270.908,46695.3,157.693,13929.7,0.818046,2.26166,0.00571794,16.1495,0.0909324,-6.68285,0.208126,1,-1,0.915218
0.19,20.401,120.05,32000,44598.3,32001.9,5195.88,49.9988,10,-150.387,50,10,-150,20.0004,120,19000.4,49.1543,19000.4,9.83084,0.681044,0.301829,0.379215,-11.3069,-11.3099,0.00299532,9.18263,38.7761,-0.0284093,44542.3,12999.6,5215.14,266.507,1.34007,53.3011,270.908,271.788,46692.7,157.675,13918.2,0.829557,2.29356,0.00610237,16.1495,0.0913441,-6.68285,0.208222,1,-1,0.918202
0.2,20.401,120.05,32000,44598.8,32002,5194.37,49.9988,10,-150.387,50,10,-150,20.0005,120,19000.4,51.828,19000.4,10.3656,0.681987,0.282503,0.399484,-11.3065,-11.3099,0.00336362,9.76608,39.0334,-0.0323028,44539.6,12999.6,5214.61,267.369,1.25308,53.4735,271.788,272.667,46690.1,157.656,13906.6,0.840212,2.32201,0.00649032,16.1495,0.0917556,-6.68285,0.208317,1,-1,0.921184
0.21,20.401,120.05,32000,44599.3,32002.1,5192.87,49.9988,10,-150.387,50,10,-150,20.0005,120,19000.4,54.5103,19000.4,10.902,0.683002,0.263312,0.41969,-11.3061,-11.3099,0.00375672,10.3547,39.2917,-0.0365097,44537,12999.6,5214.07,268.231,1.16613,53.6458,272.667,273.546,46687.4,157.638,13895.1,0.850101,2.34741,0.00688181,16.1495,0.092167,-6.68285,0.208413,1,-1,0.924163
0.22,20.401,120.05,32000,44599.8,32002.2,5191.37,49.9988,10,-150.387,50,10,-150,20.0005,120,19000.4,57.2012,19000.4,11.4402,0.684088,0.244254,0.439833,-11.3057,-11.3098,0.00417501,10.9487,39.5509,-0.0410397,44534.3,12999.6,5213.53,269.094,1.07926,53.8184,273.546,274.425,46684.8,157.62,13912.1,0.859302,2.37014,0.0072769,16.1495,0.0925782,-6.68285,0.208509,1,-1,0.927141
0.23,20.401,120.05,32000,44600.3,32002.3,5189.86,49.9988,10,-150.387,50,10,-150,20.0005,120,19000.4,59.9008,19000.4,11.9801,0.685246,0.225332,0.459914,-11.3052,-11.3098,0.00461882,11.548,39.8116,-0.045903,44531.6,12999.6,5212.99,269.958,0.992449,53.9911,274.425,275.306,46682.2,157.602,13929.1,0.867911,2.39049,0.0076757,16.1495,0.0929899,-6.68285,0.208605,1,-1,0.930122
0.24,20.401,120.05,32000,44600.8,32002.4,5188.36,49.9988,10,-150.387,50,10,-150,20.0006,120,19000.5,62.6091,19000.5,12.5218,0.686479,0.206545,0.479934,-11.3047,-11.3098,0.0050885,12.1529,40.0739,-0.051109,44528.9,12999.6,5212.45,270.824,0.905714,54.1641,275.306,276.188,46679.6,157.584,13946,0.87598,2.40877,0.00807823,16.1495,0.0934019,-6.68285,0.208701,1,-1,0.933108
0.25,20.401,120.05,32000,44601.3,32002.5,5186.86,49.9988,10,-150.387,50,10,-150,20.0006,120,19000.5,65.326,19000.5,13.0651,0.687786,0.187892,0.499894,-11.3042,-11.3098,0.00558439,12.7633,40.3376,-0.0566675,44526.2,12999.5,5211.91,271.69,0.819053,54.3373,276.188,277.072,46676.9,157.566,13963,0.883569,2.42521,0.00848452,16.1495,0.0938144,-6.68285,0.208797,1,-1,0.936098
0.26,20.401,120.05,32000,44601.8,32002.6,5185.35,49.9988,10,-150.387,50,10,-150,20.0006,120,19000.5,68.0515,19000.5,13.6103,0.689169,0.169373,0.519796,-11.3037,-11.3098,0.00610682,13.3792,40.6029,-0.0625883,44523.5,12999.5,5211.37,272.558,0.732467,54.5107,277.072,277.956,46674.3,157.548,13980,0.890727,2.44003,0.00889462,16.1495,0.0942274,-6.68285,0.208893,1,-1,0.939091
0.27,20.401,120.05,32000,44602.3,32002.7,5183.85,49.9988,10,-150.387,50,10,-150,20.0006,120,19000.5,70.7858,19000.5,14.1571,0.690627,0.150985,0.539642,-11.3031,-11.3098,0.00665611,14.0009,40.8697,-0.0688811,44520.8,12999.5,5210.82,273.426,0.645959,54.6843,277.956,278.842,46671.6,157.53,13997,0.897502,2.45342,0.00930856,16.1495,0.0946407,-6.68285,0.20899,1,-1,0.942089
0.28,20.401,120.05,32000,44602.8,32002.8,5182.34,49.9988,10,-150.387,50,10,-150,20.0007,120,19000.5,73.5288,19000.5,14.7057,0.692164,0.13273,0.559433,-11.3025,-11.3097,0.00723256,14.6282,41.138,-0.0755558,44518,12999.5,5210.27,274.296,0.55953,54.8581,278.842,279.729,46668.9,157.512,14013.9,0.903931,2.46554,0.0097264,16.1495,0.0950545,-6.68285,0.209087,1,-1,0.945091
0.29,20.401,120.05,32000,44603.3,32002.9,5180.84,49.9988,10,-150.387,50,10,-150,20.0007,120,19000.5,76.2804,19000.5,15.256,0.693778,0.114606,0.579171,-11.3019,-11.3097,0.00783648,15.2613,41.4079,-0.0826223,44515.3,12999.5,5209.72,275.167,0.473181,55.0322,279.729,280.617,46666.2,157.494,14030.9,0.910053,2.47655,0.0101482,16.1495,0.0954687,-6.68285,0.209184,1,-1,0.948097
0.3,20.401,120.05,32000,44603.8,32003,5179.34,49.9988,10,-150.387,50,10,-150,20.0007,120,19000.5,79.0408,19000.5,15.8081,0.695471,0.0966132,0.598858,-11.3012,-11.3097,0.00846816,15.9002,41.6794,-0.0900905,44512.5,12999.5,5209.17,276.039,0.386914,55.2065,280.617,281.506,46663.6,157.476,14047.9,0.9159,2.48658,0.0105739,16.1495,0.0958833,-6.68285,0.209281,1,-1,0.951106
0.31,20.401,120.05,32000,44604.3,32003.1,5177.83,49.9988,10,-150.387,50,10,-150,20.0007,120,19000.5,81.81,19000.5,16.3619,0.697243,0.0787498,0.618493,-11.3005,-11.3097,0.00912791,16.545,41.9524,-0.0979705,44509.8,12999.5,5208.62,276.912,0.300731,55.381,281.506,282.396,46660.9,157.458,14064.8,0.921501,2.49574,0.0110036,16.1495,0.0962983,-6.68285,0.209378,1,-1,0.95412
0.32,20.401,120.05,32000,44604.8,32003.2,5176.33,49.9988,10,-150.387,50,10,-150,20.0008,120,19000.5,84.5878,19000.5,16.9174,0.699096,0.0610157,0.63808,-11.2998,-11.3096,0.009816,17.1957,42.227,-0.106272,44507,12999.5,5208.07,277.787,0.214633,55.5557,282.396,283.288,46658.2,157.44,14081.8,0.926882,2.50413,0.0114374,16.1495,0.0967137,-6.68285,0.209475,1,-1,0.957138
0.33,20.401,120.05,32000,44605.3,32003.3,5174.82,49.9988,10,-150.387,50,10,-150,20.0008,120,19000.5,87.3745,19000.5,17.4747,0.701029,0.0434101,0.657619,-11.2991,-11.3096,0.0105327,17.8525,42.5031,-0.115006,44504.2,12999.5,5207.51,278.662,0.128623,55.7306,283.288,284.181,46655.4,157.421,14098.8,0.932067,2.51185,0.0118753,16.1495,0.0971296,-6.68285,0.209572,1,-1,0.96016
0.34,20.401,120.05,32000,44605.8,32003.4,5173.32,49.9988,10,-150.387,50,10,-150,20.0008,120,19000.5,90.1698,19000.5,18.0338,0.703045,0.0259326,0.677112,-11.2983,-11.3096,0.0112784,18.5153,42.7808,-0.124183,44501.4,12999.5,5206.95,279.539,0.0427016,55.9057,284.181,285.075,46652.7,157.403,14115.8,0.937077,2.51897,0.0123174,16.1495,0.0975459,-6.68285,0.20967,1,-1,0.963186
0.35,20.401,120.05,32000,44606.3,32003.5,5171.82,49.9988,10,-150.387,50,10,-150,20.0008,120,19000.5,92.974,19000.5,18.5946,0.705142,0.00858238,0.69656,-11.2975,-11.3095,0.0120532,19.1843,43.0602,-0.133812,44498.6,12999.5,5206.39,280.417,-0.0431288,56.0811,285.075,285.97,46650,157.385,14132.7,0.94193,2.52556,0.0127636,16.1495,0.0979626,-6.68285,0.209768,1,-1,0.966216
0.36,20.401,120.05,32000,44606.8,32003.6,5170.31,49.9988,10,-150.387,50,10,-150,20.0009,120,19000.5,95.787,19000.5,19.1572,0.707323,-0.00864112,0.715964,-11.2966,-11.3095,0.0128575,19.8594,43.3411,-0.143904,44495.8,12999.5,5205.83,281.296,-0.128867,56.2567,285.97,286.866,46647.3,157.367,14149.7,0.946644,2.53169,0.013214,16.1495,0.0983797,-6.68285,0.209866,1,-1,0.96925
0.37,20.401,120.05,32000,44607.3,32003.7,5168.81,49.9988,10,-150.387,50,10,-150,20.0009,120,19000.5,98.6087,19000.5,19.7215,0.709587,-0.0257385,0.735326,-11.2957,-11.3094,0.0136915,20.5408,43.6236,-0.154471,44493,12999.5,5205.27,282.176,-0.21451,56.4325,286.866,287.764,46644.5,157.349,14166.7,0.951234,2.53742,0.0136687,16.1495,0.0987972,-6.68285,0.209964,1,-1,0.972288
0.38,20.401,120.05,32000,44607.8,32003.8,5167.3,49.9988,10,-150.387,50,10,-150,20.0009,120,19000.5,101.439,19000.5,20.2876,0.711936,-0.0427104,0.754646,-11.2948,-11.3094,0.0145556,21.2285,43.9077,-0.165522,44490.2,12999.5,5204.7,283.057,-0.300057,56.6084,287.764,288.662,46641.8,157.331,14183.7,0.955713,2.54278,0.0141277,16.1495,0.0992151,-6.68285,0.210062,1,-1,0.97533
0.39,20.401,120.05,32000,44608.3,32003.9,5165.8,49.9988,10,-150.387,50,10,-150,20.0009,120,19000.5,104.279,19000.5,20.8554,0.714369,-0.0595574,0.773927,-11.2939,-11.3093,0.0154499,21.9226,44.1935,-0.177069,44487.4,12999.5,5204.13,283.94,-0.385506,56.7847,288.662,289.562,46639,157.313,14200.6,0.960093,2.54782,0.0145911,16.1495,0.0996334,-6.68285,0.210161,1,-1,0.978376
0.4,20.401,120.05,32000,44608.8,32004,5164.3,49.9988,10,-150.387,50,10,-150,20.001,120,19000.5,107.127,19000.5,21.425,0.716889,-0.0762802,0.793169,-11.2929,-11.3093,0.0163748,22.6231,44.4809,-0.189122,44484.5,12999.5,5203.57,284.823,-0.470855,56.9611,289.562,290.463,46636.2,157.295,14217.6,0.964386,2.55258,0.0150588,16.1495,0.100052,-6.68285,0.210259,1,-1,0.981427
0.41,20.401,120.05,32000,44609.3,32004.1,5162.79,49.9988,10,-150.387,50,10,-150,20.001,120,19000.5,109.984,19000.5,21.9964,0.719494,-0.0928791,0.812373,-11.2919,-11.3092,0.0173306,23.3301,44.7699,-0.201694,44481.7,12999.5,5203,285.708,-0.556102,57.1377,290.463,291.366,46633.4,157.277,14234.6,0.968601,2.5571,0.015531,16.1495,0.100471,-6.68285,0.210358,1,-1,0.984481
0.42,20.401,120.05,32000,44609.8,32004.2,5161.29,49.9988,10,-150.387,50,10,-150,20.001,120,19000.5,112.85,19000.5,22.5696,0.722186,-0.109355,0.831541,-11.2909,-11.3092,0.0183174,24.0437,45.0606,-0.214794,44478.8,12999.5,5202.42,286.591,-0.641277,57.3141,291.366,292.267,46630.7,157.259,14211.3,0.972747,2.56139,0.0160076,16.1495,0.100891,-6.68285,0.210457,1,-1,0.987539
0.43,20.401,120.05,32000,44610.3,32004.3,5159.79,49.9988,10,-150.387,50,10,-150,20.001,120,19000.5,115.725,19000.5,23.1445,0.724966,-0.125716,0.850682,-11.2898,-11.3091,0.0193358,24.7635,45.3521,-0.228431,44476,12999.5,5201.85,287.473,-0.726379,57.4901,292.267,293.166,46627.9,157.241,14188,0.976797,2.5655,0.0164885,16.1495,0.10131,-6.68285,0.210555,1,-1,0.990592
0.44,20.401,120.05,32000,44610.8,32004.4,5158.28,49.9988,10,-150.387,50,10,-150,20.0011,120,19000.5,118.608,19000.5,23.7211,0.727834,-0.141962,0.869796,-11.2887,-11.3091,0.020386,25.4897,45.6445,-0.242618,44473.1,12999.5,5201.27,288.354,-0.811406,57.6659,293.166,294.064,46625.1,157.223,14164.7,0.980776,2.56941,0.0169738,16.1495,0.101729,-6.68285,0.210654,1,-1,0.993641
0.45,20.401,120.05,32000,44611.3,32004.5,5156.78,49.9988,10,-150.387,50,10,-150,20.0011,120,19000.4,121.501,19000.4,24.2995,0.730791,-0.158095,0.888886,-11.2875,-11.309,0.0214684,26.2224,45.9378,-0.257366,44470.2,12999.5,5200.7,289.233,-0.896357,57.8413,294.064,294.961,46622.2,157.205,14141.4,0.984685,2.57315,0.0174636,16.1495,0.102147,-6.68285,0.210753,1,-1,0.996686
0.46,20.401,120.05,32000,44611.8,32004.6,5155.27,49.9988,10,-150.387,50,10,-150,20.0011,120,19000.4,124.402,19000.4,24.8797,0.733837,-0.174116,0.907953,-11.2864,-11.3089,0.0225831,26.9617,46.2319,-0.272686,44467.3,12999.6,5200.12,290.111,-0.981229,58.0165,294.961,295.857,46619.4,157.186,14118.2,0.988533,2.57675,0.0179578,16.1495,0.102565,-6.68285,0.210851,1,-1,0.999725
0.47,20.401,120.05,32000,44612.3,32004.7,5153.77,49.9988,10,-150.387,50,10,-150,20.0011,120,19000.4,127.312,19000.4,25.4616,0.736973,-0.190026,0.926998,-11.2851,-11.3089,0.0237305,27.7075,46.527,-0.28859,44464.4,12999.6,5199.54,290.987,-1.06602,58.1914,295.857,296.751,46616.6,157.168,14094.9,0.992324,2.58021,0.0184565,16.1495,0.102982,-6.68285,0.21095,1,-1,1.00276
0.48,20.401,120.05,32000,44612.8,32004.8,5152.27,49.9988,10,-150.387,50,10,-150,20.0012,120,19000.4,130.23,19000.4,26.0453,0.740199,-0.205825,0.946024,-11.2839,-11.3088,0.0249109,28.46,46.8228,-0.305089,44461.5,12999.6,5198.95,291.862,-1.15073,58.366,296.751,297.643,46613.8,157.15,14071.6,0.996066,2.58355,0.0189597,16.1495,0.103399,-6.68285,0.211048,1,-1,1.00579
0.49,20.401,120.05,32000,44613.3,32004.9,5150.76,49.9988,10,-150.387,50,10,-150,20.0012,120,19000.4,133.157,19000.4,26.6307,0.743517,-0.221514,0.965031,-11.2826,-11.3087,0.0261245,29.2192,47.1196,-0.322194,44458.6,12999.6,5198.37,292.736,-1.23536,58.5403,297.643,298.535,46610.9,157.132,14048.3,0.999762,2.58679,0.0194676,16.1495,0.103815,-6.68285,0.211146,1,-1,1.00882
0.5,20.401,120.05,32000,44613.8,32005,5149.26,49.9988,10,-150.387,50,10,-150,20.0012,120,19000.4,136.094,19000.4,27.2178,0.746927,-0.237095,0.984022,-11.2813,-11.3086,0.0273717,29.9851,47.4172,-0.339919,44455.6,12999.6,5197.78,293.609,-1.3199,58.7143,298.535,299.425,46608.1,157.114,14025,1.00342,2.58994,0.01998,16.1495,0.104231,-6.68285,0.211244,1,-1,1.01184
0.51,20.401,120.05,32000,44614.3,32005.1,5147.75,49.9988,10,-150.387,50,10,-150,20.0013,120,19000.4,139.038,19000.4,27.8067,0.750429,-0.252568,1.003,-11.2799,-11.3085,0.0286527,30.7578,47.7157,-0.358273,44452.7,12999.6,5197.19,294.48,-1.40436,58.888,299.425,300.313,46605.2,157.096,14001.7,1.00704,2.59301,0.0204971,16.1495,0.104647,-6.68285,0.211342,1,-1,1.01485
0.52,20.401,120.05,32000,44614.8,32005.2,5146.25,49.9988,10,-150.387,50,10,-150,20.0013,120,19000.4,141.992,19000.4,28.3973,0.754024,-0.267934,1.02196,-11.2785,-11.3085,0.0299678,31.5373,48.0151,-0.377271,44449.8,12999.6,5196.6,295.349,-1.48872,59.0614,300.313,301.2,46602.3,157.078,13978.5,1.01062,2.596,0.0210188,16.1495,0.105062,-6.68285,0.21144,1,-1,1.01786
0.53,20.401,120.05,32000,44615.3,32005.3,5144.75,49.9988,10,-150.387,50,10,-150,20.0013,120,19000.3,144.954,19000.3,28.9897,0.757712,-0.283193,1.04091,-11.277,-11.3084,0.0313174,32.3237,48.3154,-0.396923,44446.8,12999.6,5196.01,296.218,-1.573,59.2345,301.2,302.086,46599.4,157.06,13955.2,1.01417,2.59893,0.0215453,16.1495,0.105477,-6.68285,0.211538,1,-1,1.02087
0.54,20.401,120.05,32000,44615.8,32005.4,5143.24,49.9988,10,-150.387,50,10,-150,20.0013,120,19000.3,147.925,19000.3,29.5837,0.761495,-0.298348,1.05984,-11.2756,-11.3083,0.0327017,33.117,48.6165,-0.417243,44443.9,12999.7,5195.42,297.085,-1.65719,59.4073,302.086,302.971,46596.6,157.042,13931.9,1.0177,2.6018,0.0220765,16.1495,0.105891,-6.68285,0.211635,1,-1,1.02387
0.55,20.401,120.05,32000,44616.3,32005.5,5141.74,49.9988,10,-150.387,50,10,-150,20.0014,120,19000.3,150.904,19000.3,30.1795,0.765373,-0.313398,1.07877,-11.274,-11.3082,0.034121,33.9173,48.9186,-0.438241,44440.9,12999.7,5194.82,297.95,-1.74128,59.5799,302.971,303.854,46593.7,157.024,13908.6,1.0212,2.60461,0.0226124,16.1495,0.106304,-6.68285,0.211733,1,-1,1.02687
0.56,20.401,120.05,32000,44616.8,32005.6,5140.24,49.9988,10,-150.387,50,10,-150,20.0014,120,19000.3,153.893,19000.3,30.777,0.769346,-0.328344,1.09769,-11.2725,-11.3081,0.0355755,34.7247,49.2215,-0.459932,44437.9,12999.7,5194.23,298.814,-1.82527,59.7521,303.854,304.735,46590.8,157.006,13885.3,1.02468,2.60738,0.0231532,16.1495,0.106718,-6.68285,0.211831,1,-1,1.02986
0.57,20.401,120.05,32000,44617.3,32005.7,5138.73,49.9988,10,-150.387,50,10,-150,20.0014,120,19000.3,156.889,19000.3,31.3763,0.773415,-0.343187,1.1166,-11.2709,-11.3079,0.0370657,35.5391,49.5253,-0.482327,44434.9,12999.7,5193.63,299.677,-1.90917,59.924,304.735,305.616,46587.8,156.988,13862,1.02813,2.61011,0.0236989,16.1495,0.107131,-6.68285,0.211928,1,-1,1.03285
0.58,20.401,120.05,32000,44617.8,32005.8,5137.23,49.9988,10,-150.387,50,10,-150,20.0014,120,19000.3,159.895,19000.3,31.9772,0.777581,-0.357927,1.13551,-11.2692,-11.3078,0.0385918,36.3607,49.83,-0.50544,44431.9,12999.7,5193.03,300.539,-1.99297,60.0956,305.616,306.494,46584.9,156.97,13838.8,1.03157,2.6128,0.0242494,16.1495,0.107543,-6.68285,0.212025,1,-1,1.03584
0.59,20.401,120.05,32000,44618.3,32005.9,5135.72,49.9988,10,-150.387,50,10,-150,20.0015,120,19000.2,162.909,19000.2,32.5799,0.781844,-0.372567,1.15441,-11.2676,-11.3077,0.0401541,37.1894,50.1356,-0.529283,44428.9,12999.7,5192.43,301.399,-2.07667,60.2669,306.494,307.372,46582,156.951,13815.5,1.03499,2.61545,0.0248049,16.1495,0.107955,-6.68285,0.212122,1,-1,1.03882
